Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
328,AUDUSD,Sell,03.05.2022 04:00:00,0.7092,0.1,03.05.2022 23:45:00,0.70957,19h 45m,-4.2,63.9,-0.5,-4.2,63.9,-3.7,145.9,-0.04,0.7,Strategy_5_8_189,IS
330,AUDUSD,Sell,05.05.2022 12:00:00,0.72177,0.1,05.05.2022 14:28:40,0.71977,2h 28m,19.5,83.4,-0.5,19.5,83.4,20,165.9,0.19,0.89,tp 0.71977,IS
332,AUDUSD,Sell,06.05.2022 12:00:00,0.70884,0.1,06.05.2022 16:39:40,0.70684,4h 39m,19.5,102.9,-0.5,19.5,102.9,20,185.9,0.19,1.09,tp 0.70684,IS
334,AUDUSD,Sell,09.05.2022 04:00:00,0.7013,0.1,09.05.2022 11:45:40,0.6993,7h 45m,19.5,122.4,-0.5,19.5,122.4,20,205.9,0.19,1.28,tp 0.69930,IS
336,AUDUSD,Sell,10.05.2022 02:00:00,0.69496,0.1,10.05.2022 03:16:40,0.69296,1h 16m,19.5,141.9,-0.5,19.5,141.9,20,225.9,0.19,1.47,tp 0.69296,IS
338,AUDUSD,Sell,11.05.2022 15:45:00,0.69482,0.1,11.05.2022 15:57:20,0.69282,12m 20s,19.5,161.4,-0.5,19.5,161.4,20,245.9,0.19,1.66,tp 0.69282,IS
340,AUDUSD,Sell,12.05.2022 08:00:00,0.68905,0.1,12.05.2022 11:47:40,0.68705,3h 47m,19.5,180.9,-0.5,19.5,180.9,20,265.9,0.19,1.86,tp 0.68705,IS
342,AUDUSD,Sell,16.05.2022 08:00:00,0.68891,0.1,16.05.2022 21:32:40,0.69691,13h 32m,-80.5,100.4,-0.5,-80.5,100.4,-80,185.9,-0.79,1.07,sl 0.69691,IS
344,AUDUSD,Sell,18.05.2022 02:00:00,0.70315,0.1,18.05.2022 04:44:40,0.70115,2h 44m,19.5,119.9,-0.5,19.5,119.9,20,205.9,0.19,1.26,tp 0.70115,IS
346,AUDUSD,Sell,19.05.2022 02:00:00,0.69733,0.1,19.05.2022 16:56:20,0.70533,14h 56m,-80.5,39.4,-0.5,-80.5,39.4,-80,125.9,-0.8,0.46,sl 0.70533,IS
348,AUDUSD,Sell,20.05.2022 12:00:00,0.70687,0.1,20.05.2022 17:10:40,0.70487,5h 10m,19.5,58.9,-0.5,19.5,58.9,20,145.9,0.19,0.66,tp 0.70487,IS
350,AUDUSD,Sell,23.05.2022 02:00:00,0.70629,0.1,23.05.2022 23:45:00,0.71085,21h 45m,-46.1,12.8,-0.5,-46.1,12.8,-45.6,100.3,-0.46,0.2,Strategy_5_8_189,IS
352,AUDUSD,Sell,24.05.2022 12:00:00,0.70643,0.1,24.05.2022 23:45:00,0.71077,11h 45m,-43.9,-31.1,-0.5,-43.9,-31.1,-43.4,56.9,-0.44,-0.24,Strategy_5_8_189,IS
354,AUDUSD,Sell,25.05.2022 12:00:00,0.70803,0.1,25.05.2022 14:00:40,0.70603,2h 0m,19.5,-11.6,-0.5,19.5,-11.6,20,76.9,0.2,-0.04,tp 0.70603,IS
