[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T12:31:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:32:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:33:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:34:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:35:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:36:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:37:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:38:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:39:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:40:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:47:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:48:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:49:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:00:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:07:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:08:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:09:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:10:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:11:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:12:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:13:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:14:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:15:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:16:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:17:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:18:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:19:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:20:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:21:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:22:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:23:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:24:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:25:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:26:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:27:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:28:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:29:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:30:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:31:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:32:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:33:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:34:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:35:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:36:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:37:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:38:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:39:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:40:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:47:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:48:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:49:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T13:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:00:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:01:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:02:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:03:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:04:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:05:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:06:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:07:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:08:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:09:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:10:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:11:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:12:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:13:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:14:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:15:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:16:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:17:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:18:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:19:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:20:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:21:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:22:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:23:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:24:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:25:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:26:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:27:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:28:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:29:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:30:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:31:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:32:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:33:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:34:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:35:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:36:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:37:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:38:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:39:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:40:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T14:47:40+00:00 | no new closed trades
