[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +25 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324\closed_trades.csv
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-12T13:52:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:53:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:54:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:55:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:56:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:57:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:58:26+00:00 | no new closed trades
[LOOP] 2026-03-12T13:59:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:00:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:01:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:02:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:03:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:04:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:05:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:06:26+00:00 | no new closed trades
[LOOP] 2026-03-12T14:07:26+00:00 | no new closed trades
