[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (8) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE
[OK] Connected: 540136824 | FTMO Challenge USD | FTMO-Server4 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE | account_type=LIVE | server=FTMO-Server4
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-23T18:00:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:01:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:02:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:03:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:04:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:05:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:06:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:07:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:08:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:09:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:10:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:11:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T18:12:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
